医薬品名,効能,注意事項,使用方法,保存方法
ｺｾｸｲﾝﾊﾟｳﾀﾞｰIN,この製品は、コンドロイチン、グルコサミン、マンガンを主成分とする犬猫用の関節サプリメントです。,給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師に相談の上、正しく与えて下さい。,直射日光を避け、乾燥した涼しいところに保存してください。
コンセーブ２５㎎,このお薬は、抗てんかん剤です。脳神経の興奮を抑えることができます。,本剤は、薬が馴染むまで初回投与から約２週間かかり、食欲減少、ふらつきなどがみられることがあります。,獣医師の指示のもと、用法用量を守り、食事に混ぜて投与して下さい。,室温で保存して下さい。
コンセーブ１００㎎,このお薬は、抗てんかん剤です。脳神経の興奮を抑えることができます。,本剤は、薬が馴染むまで初回投与から薬2週間かかり、食欲減少、ふらつきなどがみられることがあります。,獣医師の指示のもと、用法用量を守り、食事に混ぜて投与して下さい。,室温で保存して下さい。
ｺﾝﾄﾞﾛﾌﾚｯｸｽ225,この製品は、コンドロイチン硫酸、キトサンを主成分とする犬猫用のサプリメントです。,給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師に相談の上、正しく与えて下さい。,室温で保存して下さい。
ｺﾝﾄﾞﾛﾌﾚｯｸｽ375,この製品は、コンドロイチン硫酸、キトサンを主成分とする犬用のサプリメントです。,給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師に相談の上、正しく与えて下さい。,室温で保存して下さい。
ｺﾝﾄﾞﾛﾌﾚｯｸｽ525,この製品は、コンドロイチン硫酸、キトサンを主成分とする犬用のサプリメントです。,給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師に相談の上、正しく与えて下さい。,室温で保存して下さい。
ｻｲﾄﾃｯｸ錠100,このお薬は、抗潰瘍剤です。非ステロイド性消炎鎮痛剤の投与による胃・十二指腸の炎症・潰瘍などの治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,気密容器に入れ湿気を避けて、室温で保存して下さい。
ｻｷｵｼﾞｰﾙ錠25mg,このお薬は、前立腺肥大症治療薬です。前立腺の肥大に伴う排尿障害、頻尿、残尿感などを改善します。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。定期的な検査が必要です。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ｻﾗｿﾞﾋﾟﾘﾝ錠500mg,このお薬は、スルホンアミド系化学療法剤です。抗菌作用と抗炎症作用があり、炎症性消化器疾患などの治療に用いられます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,室温で保存して下さい。
複合ﾋﾞﾀﾐﾝ剤です。,神経の保護・活性化作用があります。肝臓の再生を助けます。,お薬の返品、交換はお受けできませんので、ご了承ください。,,
ｼｸﾛｽﾎﾟﾘﾝｶﾌﾟｾﾙ25mｇ,このお薬は、免疫抑制剤です。免疫機能を抑制するために使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、必ず空腹時に与えて下さい。子供の手の届かないところに保管するようにしてください。,室温で保存して下さい。服薬直前まで包装のまま保存して下さい。
ｼｸﾛｽﾎﾟﾘﾝｶﾌﾟｾﾙ50mg,このお薬は、免疫抑制剤です。免疫機能を抑制するために使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、必ず空腹時に与えて下さい。子供の手の届かないところに保管するようにしてください。,室温で保存して下さい。服薬直前まで包装のまま保存して下さい。
シクラバンス5ml,＜全1箱＞,難治性のアトピー性皮膚炎における症状の緩和,シクラバンス15ｍｌ,＜全1箱＞
ｼﾞｺﾞｷｼﾝ錠｢ﾀｲﾖｰ｣0.25mg,このお薬は、強心配糖体製剤です。心臓の収縮力を強め、抗不整脈作用があります。,本剤投与後、挙動の変化、無気力、沈うつ等の異常がみられた場合はすぐに獣医師に報告して下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,気密容器に入れ、光を避けて室温で保存して下さい。
ジゴシン錠0.125㎎,このお薬は、強心配糖体製剤です。心臓の収縮力を強めます。また抗不整脈作用もあります。,本剤投与後、挙動の変化、無気力、沈うつ等の異常がみられた場合はすぐに獣医師に報告して下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,光を避け、気密容器に入れて室温で保存して下さい。
ｼﾞｺﾞｼﾝｴﾘｷｼﾙ0.05mg/mL,このお薬は、強心配糖体製剤です。心臓の収縮力を強めます。また抗不整脈作用もあります。,本剤投与後、挙動の変化、無気力、沈うつ等の異常がみられた場合はすぐに獣医師に報告して下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,光を避け、気密容器に入れて室温で保存して下さい。
ｼﾙﾋﾟﾅ,この製品は、耳道を良好な状態に保つイヤークリーナーです。,使用後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師に相談の上、正しくご使用下さい。,気密容器に入れて、室温で保存して下さい。
硝酸ｲｿｿﾙﾋﾞﾄﾞ徐放錠20mg,このお薬は、血管拡張剤です。血管を拡張させることで、心臓の負担を減らす作用があります。,本剤投薬後、異常がみられた場合はすぐに獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,湿気を避け、気密容器に入れて室温で保存して下さい。
ｽﾋﾟﾛﾉﾗｸﾄﾝ錠25mg｢ﾄｰﾜ｣,このお薬は、利尿剤です。うっ血性心不全や腹水等の症状を改善するために使用されます。,本剤投与後、消化器症状、神経症状などがみられた場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
スパカール錠40mg,このお薬は胆汁を分泌促進させます。,獣医師の指示のもと、用法用量を守って正しくご使用下さい。,室温で保存してください。,
ｾﾞﾅｷﾙ錠100,このお薬は、ニューキノロン系の抗菌剤です。細菌感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,気密容器に入れて保存して下さい。
ｾﾞﾅｷﾙ錠25,このお薬は、ニューキノロン系の抗菌剤です。細菌感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,気密容器に入れて保存して下さい。
ｾﾞﾅｷﾙ錠50,このお薬は、ニューキノロン系の抗菌剤です。細菌感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,気密容器に入れて保存して下さい。
ｾﾌｧﾚｷｼﾝ錠250｢ﾏﾙｺ｣,このお薬は、セフェム系第1世代の抗生物質です。細菌感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,食事と一緒に投与して下さい。獣医師から指示された用法用量を必ず守り、指示のない限り途中で投与を中止しないで下さい。,光を避けて、室温で保存して下さい。
セファクリア錠600,本剤感受性のブドウ球菌、細菌性皮膚感染症に効果があります。,本剤の成分又はセフェム系抗生物質に対する過敏症を有する人は本剤を取り扱わないでください。,1日2回７日間、間隔を１０時間以上あけて飲ませてください。,直射日光、高温、多湿を避け、室温で保存して下さい。
セファクリア300,このお薬は、セフェム系第1世代の抗生物質です。細菌感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談ください。,獣医師から指示された用法用量を必ず守ってください。指示のない限り、途中で投与を中止しないでください。,機密容器に入れて保存してください。
セルセプト,このお薬は免疫抑制剤です。免疫機能を抑制するためなどに使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って正しくご使用ください。,高温多湿を避け、室温で保存してください。
ｾﾚﾆｱ錠16,このお薬は、制吐剤です。嘔吐や、乗り物酔いの予防に用いられます。,本剤投与後、異常がみられた場合は獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って正しくご使用ください。乗り物酔い予防に用いる場合は、乗り物に乗る1時間前までに服用してください。また、服用する1時間前は、ごはんやおやつを与えるのを控えてください。,室温で保存して下さい。
ｾﾚﾆｱ錠24,このお薬は、制吐剤です。嘔吐や、乗り物酔いの予防に用いられます。,本剤投与後、異常がみられた場合は獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守ってご使用ください。乗り物酔いの予防に用いる場合は、乗り物に乗る1時間前までに服用してください。また、服用する1時間前は、ごはんやおやつを与えるのを控えてください。,室温で保存して下さい。
ｾﾚﾆｱ錠60,このお薬は、制吐剤です。嘔吐や、乗り物酔いの予防に用いられます。,本剤投与後、異常がみられた場合は獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って正しくご使用ください。乗り物酔いの予防に用いる場合は、乗り物に乗る1時間前までに服用してください。また服用する1時間前は、ごはんやおやつを与えるのを控えてください。,室温で保存して下さい。
ｾﾞﾝﾗｰｾﾞ-UCAT,この製品は、フマル酸を主成分とする猫用のサプリメントです。,給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師に相談の上、正しく与えて下さい。,室温で保存して下さい。
ｾﾞﾝﾗｰｾﾞ-UDOG,この製品は、フマル酸を主成分とする犬用のサプリメントです。,給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師に相談の上、正しく与えて下さい。,室温で保存して下さい。
ｿﾛｷｼﾝ0.025mg,このお薬は、甲状腺ホルモン剤です。甲状腺ホルモンを補充・治療するために使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。指示がない限り途中で投与を中止しないで下さい。,室温（15～30℃）で保存してください。
ｿﾛｷｼﾝ0.05mg,このお薬は、甲状腺ホルモン剤です。甲状腺ホルモンを補充・治療するために使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。指示がない限り途中で投与を中止しないで下さい。,室温（15～30℃）で保存してください。
ｿﾛｷｼﾝ0.1mg,このお薬は、甲状腺ホルモン剤です。甲状腺ホルモンを補充・治療するために使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。指示がない限り途中で投与を中止しないで下さい。,室温（15～30℃）で保存してください。
ｿﾛｷｼﾝ0.2mg（海外薬）,このお薬は、甲状腺ホルモン剤です。甲状腺ホルモンを補充・治療するために使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。指示がない限り途中で投与を中止しないで下さい。,室温（15～30℃）で保存してください。
ｿﾛｷｼﾝ0.3mg,このお薬は、甲状腺ホルモン剤です。甲状腺ホルモンを補充・治療するために使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。指示がない限り途中で投与を中止しないで下さい。,室温（15～30℃）で保存してください。
ｿﾛｷｼﾝ0.4mg,このお薬は、甲状腺ホルモン剤です。甲状腺ホルモンを補充・治療するために使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。指示がない限り途中で投与を中止しないで下さい。,室温（15～30℃）で保存してください。
ｿﾛｷｼﾝ0.5mg,このお薬は、甲状腺ホルモン剤です。甲状腺ホルモンを補充・治療するために使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。指示がない限り途中で投与を中止しないで下さい。,室温（15～30℃）で保存してください。
ダイアモックス２５０ml,炭酸脱水素酵素阻害薬で、眼圧や脳圧を下げる薬です。,本剤投与後、異常がみられた場合は、すぐ獣医師にご相談ください。お薬の返品、交換はお受けできませんのでご了承下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用ください。,室温で保存して下さい。
ﾀﾞｲｸﾛﾄﾗｲﾄﾞ錠25mg,このお薬は、利尿剤です。うっ血性心不全や腹水等の症状を改善するために使用されます。,本剤投与後、過度に水を飲む、尿が少ない、落ち着きがない等の症状がみられた場合は、獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ダイフェン,このお薬は、セフェム系１世代の抗生物質です。細菌感染の治療に使用されます。,乾性角結膜炎がみられることがあります。本剤投与後、眼やにの増加、その他の異常がみられた場合は、すぐに獣医師にご相談ください。また、肝障害のある動物には与えないでください。,食事と一緒に投与して下さい。獣医師から指示された用法用量を必ず守り、指示のない限り途中で投与を中止しないで下さい。,光を避けて、室温で保存して下さい。
タベジール錠1㎎,このお薬は、抗ヒスタミン剤です。アレルギーの症状を誘発するヒスタミンなどの発生を抑えます。,本剤投与後、眠くなったり、多飲になる場合があります。その他、異常がみられた場合は獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ﾀﾁｵﾝ錠100mg,このお薬は、還元型解毒剤です。肝疾患や中毒などの治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ﾀﾞﾝﾄﾘｳﾑｶﾌﾟｾﾙ50mg,このお薬は、排尿障害の治療薬です。尿道の筋肉の緊張を緩和し、排尿障害を改善します。,本剤使用後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ﾀﾞﾗｼﾝｶﾌﾟｾﾙ75mg,このお薬は、リンコマイシン系の抗生物質です。嫌気性菌にも有効です。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,室温で保存して下さい。
ﾀﾞﾗｼﾝｶﾌﾟｾﾙ150mg,このお薬は、リンコマイシン系の抗生物質です。嫌気性菌にも有効です。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,室温で保存して下さい。
ﾁｮｺﾗA錠1万単位,このお薬は、ビタミンA製剤です。視力低下、皮膚乾燥、抵抗力低下などの治療に使用されます。,本剤投与後、過敏症が現れることがあります。異常がみられた場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,光と湿気を避けて保存して下さい。処方期間を過ぎた薬は廃棄して下さい。
ﾁﾗｰﾁﾞﾝS錠100,このお薬は、甲状腺ホルモン剤です。甲状腺ホルモンを補充・治療するために使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。指示がない限り途中で投与を中止しないで下さい。,光を避けて、室温で保存して下さい。
ﾂﾙﾃﾞｯｸ75mg錠,このお薬は、H2ブロッカーです。胃・十二指腸の潰瘍などの治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,光と湿気を避けて、室温で保存して下さい。
ﾃﾞｨｱﾊﾞｽﾀｰ錠,このお薬は、犬猫用の抗下痢剤です。下痢における症状改善、腹痛、疝痛の治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,直射日光と高温多湿を避けて、室温で保存して下さい。
ｄｓピモハート錠1.25ｍｇ,このお薬は、心不全治療薬です。心不全の治療に使用されます。,本剤投与後、異常が見られた場合は、すぐに獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って正しく与えてください。食事の1時間前に与えるようにしてください。,気密容器に入れて、直射日光と高温多湿を避け室温で保存して下さい
ｄｓピモハート錠2.5ｍｇ,このお薬は、心不全治療薬です。心不全の治療に使用されます。,本剤投与後、異常が見られた場合は、すぐに獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って正しく与えてください。食事の1時間前に与えるようにしてください。,気密容器に入れて、直射日光と高温多湿を避け室温で保存して下さい。
ﾃﾞｷｻﾒｻｿﾞﾝ錠0.5mg｢ﾀｲﾖｰ｣,このお薬は、副腎皮質ホルモン製剤です。炎症性疾患や免疫疾患に使用する場合もあります。,本剤投与後、食欲増進や、多飲がみられる場合があります。過度な場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。指示がない限り途中で投与を中止しないで下さい。,室温で保存して下さい。
デカドロン錠4㎎,このお薬は、副腎皮質ホルモン製剤です。炎症性疾患や免疫疾患に使用する場合もあります。,本剤投与後、食欲増進や、多飲がみられる場合があります。過度な場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。指示がない限り途中で投与を中止しないで下さい。,室温で保存して下さい。
ﾃﾞｿﾊﾟﾝ60ｍｇ持田製薬,副腎皮質機能亢進症の治療薬,副腎皮質の機能を抑制します。元気、食欲低下などの症状が現れた時には担当獣医師までご相談ください。投薬の際は手袋などを着用し、素手で触れないようにしてください。,,
チロブロック錠1.25ｍｇ,このお薬は、抗甲状腺剤です。甲状腺機能亢進症の治療に使用され、過剰な甲状腺ホルモンの合成を制御します。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。定期的な検診が必要になります。,獣医師の指示のもと、用法容量を守って正しくご使用ください。,光を避け、密閉した容器に入れて常温で保存して下さい。
チロブロック2.5ｍｇ,このお薬は、抗甲状腺剤です。甲状腺機能亢進症の治療に使用され、過剰な甲状腺ホルモンの合成を制御します。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい定期的な検診が必要になります。,獣医師の指示のもと、用法容量を守って、正しくご使用下さい。,光を避け、密閉した容器に入れて常温で保存して下さい。
ﾄｺﾝｼﾛｯﾌﾟ｢ﾂﾑﾗ｣,このお薬は催吐剤です。誤って飲み込んだ異物や薬物などを嘔吐させるために使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,遮光した気密容器に入れて、室温で保存して下さい。
ﾄﾗｺﾅ錠100mg,このお薬は、トリアゾール系の抗真菌薬です。真菌感染の治療のために使用されます。,本剤投与後、異常がみられた場合はすぐに獣医師にご相談下さい。,空腹時は避けて、脂肪分の多い食事とともに服用させて下さい。指示のない限り途中で投与を中止しないで下さい。,湿気を避けて、室温で保存して下さい。
トラゾドン塩酸塩錠５０㎎,抗不安、情動障害の緩和、術後安静補助、通院や診察ストレスの緩和,本剤は初回投与後から一過性にふらつきなどがみられることがあります。異常がみられた場合は獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守り、食事に混ぜて投与してください。,室温で保存してください。
ﾄﾘﾌﾞﾘｯｾﾝﾀﾌﾞﾚｯﾄ,このお薬は、トリメトプリムとサルファ剤の複合剤です。細菌感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,光を避けて25℃以下で保存して下さい。
トリプタノール錠10,このお薬は、三環系抗うつ剤です。脳内の神経細胞の働きを抑制することによって、不安や緊張を和らげます。,本剤投与後、異常が見られた場合は、すぐに獣医師にご相談ください。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,光を避けて、室温で保存して下さい。
トリロスタン2.5mg,副腎皮質機能亢進症の治療薬,副腎皮質の機能を抑制します。元気、食欲低下などの症状が現れた時には担当獣医師までご相談ください。,,
トリロスタン5mg,副腎皮質機能亢進症の治療薬,副腎皮質の機能を抑制します。元気、食欲低下などの症状が現れた時には担当獣医師までご相談ください。,,
トリロスタン10㎎,副腎皮質機能亢進症の治療薬,副腎皮質の機能を抑制します。元気、食欲低下などの症状が現れた時には担当獣医師までご相談ください。,,
ﾄﾞﾛﾝｼｯﾄ錠,このお薬は、条虫駆除剤で、瓜実条虫、マンソン裂頭条虫、メソセストイデス属条虫、犬の多包条虫、猫条虫の駆除に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,直射日光と高温多湿を避けて保存して下さい。
ﾄﾞﾛﾝﾀｰﾙﾌﾟﾗｽ錠,このお薬は、犬用腸内寄生虫駆除剤です。犬回虫、犬鉤虫、犬鞭虫、瓜実条虫の駆除に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,直射日光と高温多湿を避けて保存して下さい。
ﾄﾞﾛﾝﾀｰﾙ錠,このお薬は、猫用腸内寄生虫駆除剤です。猫回虫、猫鉤虫、瓜実条虫、猫条虫の駆除に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,直射日光と高温多湿を避けて保存して下さい。
トラマドール,オピオイド受容体アゴニストの鎮痛剤で、癌や術後鎮痛として使用されます。鎮咳効果もあります。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談ください。お薬の返品、交換はお受けできませんのでご了承ください。,獣医師の指示のもと、用法用量を必ず守って、ご使用ください。,
トランサミン錠500mg,このお薬は、抗プラスミン剤です。外傷などにより出血したときや、様々な病気に伴い出血しやすいときに使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ﾄﾞﾝﾍﾟﾘﾝDS1%,このお薬は、消化管運動改善薬です。嘔吐をおさえるお薬です。また、犬のリーシュマニア症の治療薬でもあります。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ﾄﾞﾝﾍﾟﾘﾝ錠10,このお薬は、消化管運動改善薬です。嘔吐をおさえるお薬です。また、犬のリーシュマニア症の治療薬でもあります。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ﾆﾁﾌｧｰｹﾞﾝ配合錠,このお薬は、肝臓疾患用剤です。肝胆道系の治療に使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ﾆﾄﾛｰﾙ錠5mg,このお薬は、血管拡張剤です。血管を拡張させることで、心臓の負担を減らす作用があります。,本剤投与後、異常がみられた場合はすぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,湿気を避け、気密容器に入れて室温で保存して下さい。
ﾆｭｰﾄﾘｶﾙ,この製品は、嗜好性の高い犬用の高カロリービタミンミネラルサプリメントです。,給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師に相談の上、正しく与えて下さい。,室温で保存して下さい。
ﾈｵｰﾗﾙ内用液10%,このお薬は、免疫抑制剤です。免疫機能を抑制するために使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、必ず空腹時に与えて下さい。子供の手の届かないところに保管するようにしてください。,室温で保存して下さい。約20℃以下で保存し、ゼリー状になった場合には、室温で溶解してから使用して下さい。
ﾈｵﾌｨﾘﾝ錠100mg,このお薬は、気管支拡張薬です。咳、喘息を改善します。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,光と湿気を避けて、室温で保存して下さい。
ﾉｲﾁｰﾑ錠30mg,このお薬は、消炎酵素剤です。炎症による腫れを抑え、たんや膿を溶かして排泄させやすくします。,空腹時には投与しないで下さい。本剤投与後、発疹や痒み等がみられた場合はすぐに獣医師にご相談下さい。,空腹時の投与を避けて、食事に混ぜるか、食後に与えて下さい。,湿気を避けて、室温で保存して下さい。
ﾉﾙﾊﾞｽｸ錠2.5mg,このお薬は、持続性カルシウム拮抗剤です。不整脈の治療や、血管を拡張させることで血圧を管理するために使用されます。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ﾊﾞｲﾄﾘﾙ15mg錠,このお薬は、ニューキノロン系の抗菌剤です。細菌感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,小児の手の届かないところで保存して下さい。
ﾊﾞｲﾄﾘﾙ50mg錠,このお薬は、ニューキノロン系の抗菌剤です。細菌感染の治療に使用されます。,本剤投与後、嘔吐、下痢などの消化器症状や、その他の異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師から指示された用法用量を必ず守って下さい。指示のない限り、途中で投与を中止しないで下さい。,小児の手の届かないところで保存して下さい。
ﾊｲﾄﾞﾚｱｶﾌﾟｾﾙ500mg,このお薬は、抗癌剤のひとつです。,薬に直接手を触れないで下さい。また、本剤投与後2日間は、排泄物にも直接手を触れないで下さい。,換気の良い場所で、手袋、マスクを装着して薬を扱って下さい。獣医師の指示を厳守し、用法用量を守って、正しくご使用下さい。,光と湿気を避けて、室温で保存して下さい。
パキシル錠10mg,このお薬は、SSRIという抗うつ剤です。脳内の神経細胞の働きを抑制することによって、不安や緊張を和らげます。,本剤は早期の効果を期待するものではありません。他の治療法との併用が必要です。食欲不振、便秘、尿閉などの症状が見られた場合、服用を中止し、獣医師の指示に従って下さい。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
ﾊﾞｷｿｶﾌﾟｾﾙ10,このお薬は、非ステロイド性消炎鎮痛剤です。痛みを抑える時や、一部の腫瘍の治療にも使用されます。,空腹時には投与しないで下さい。本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,空腹時の投与を避けて、食事に混ぜるか、食後に与えて下さい。,室温で保存して下さい。
ﾊﾟﾅｷｭｱﾙﾃｲﾝ,この製品は、ルテインを含む、目ケア用の犬用サプリメントです。,給与後、異常がみられた場合は、すぐに獣医師にご相談下さい。,獣医師に相談の上、正しく与えて下さい。,直射日光と湿気を避けて、室温で保存して下さい。
ﾊﾟﾊﾟｺｰﾙ錠25,このお薬は、前立腺肥大症治療薬です。前立腺の肥大に伴う排尿障害、頻尿、残尿感などを改善します。,本剤投与後、異常がみられた場合は、すぐに獣医師にご相談下さい。定期的な検査が必要です。,獣医師の指示のもと、用法用量を守って、正しくご使用下さい。,室温で保存して下さい。
パラディア錠10,このお薬は、分子標的薬という種類の抗がん剤です。肥満細胞腫などの治療に用いられます。,薬に直接手を触れないで下さい。また、本剤投与後2日間は、排泄物にも直接手を触れないで下さい。,換気の良い場所で、手袋、マスクを装着して薬を扱って下さい。獣医師の指示を厳守し、用法用量を守って、正しくご使用下さい。,室温で保存してください。
